tid,fritt_mb,swap_mb,pid,cpu,rss_mb,namn
0.0,117,14733,1760,0.0,0,/Applications/Microsoft
0.0,117,14733,2289,0.0,0,/Applications/Ollama.app/Contents/Resources/ollama
0.0,117,14733,3752,0.4,6051,/Applications/Ollama.app/Contents/Resources/llama-server
0.0,117,14733,5164,0.0,0,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
0.0,117,14733,76251,0.1,1,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
0.0,117,14733,91257,1.4,15,/Applications/Microsoft
0.0,117,14733,91258,0.0,0,/Applications/Microsoft
0.0,117,14733,91259,0.0,2,/Applications/Microsoft
0.0,117,14733,91263,0.8,12,/Applications/Microsoft
0.0,117,14733,91265,0.0,0,/Applications/Microsoft
0.0,117,14733,91266,1.3,20,/Applications/Microsoft
0.0,117,14733,91268,0.0,3,/Applications/Microsoft
0.0,117,14733,91270,0.0,3,/Applications/Microsoft
0.0,117,14733,91271,0.4,11,/Applications/Microsoft
0.0,117,14733,91272,0.0,5,/Applications/Microsoft
0.0,117,14733,91279,3.7,82,/Applications/Microsoft
0.0,117,14733,91280,37.5,114,/Applications/Microsoft
0.0,117,14733,91295,0.0,4,/Applications/Microsoft
0.0,117,14733,91296,0.0,4,/Applications/Microsoft
0.0,117,14733,91305,0.0,3,/Applications/Microsoft
0.0,117,14733,91318,0.0,3,/Applications/Microsoft
0.7,1025,14730,1760,0.0,0,/Applications/Microsoft
0.7,1025,14730,2289,21.5,42,/Applications/Ollama.app/Contents/Resources/ollama
0.7,1025,14730,5164,3.2,16,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
0.7,1025,14730,5182,25.7,92,/Applications/Ollama.app/Contents/Resources/llama-server
0.7,1025,14730,76251,0.0,1,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
0.7,1025,14730,91257,0.3,15,/Applications/Microsoft
0.7,1025,14730,91258,0.0,0,/Applications/Microsoft
0.7,1025,14730,91259,0.0,2,/Applications/Microsoft
0.7,1025,14730,91263,0.0,8,/Applications/Microsoft
0.7,1025,14730,91265,0.0,0,/Applications/Microsoft
0.7,1025,14730,91266,0.9,21,/Applications/Microsoft
0.7,1025,14730,91268,0.0,3,/Applications/Microsoft
0.7,1025,14730,91270,0.0,2,/Applications/Microsoft
0.7,1025,14730,91271,0.0,11,/Applications/Microsoft
0.7,1025,14730,91272,0.0,9,/Applications/Microsoft
0.7,1025,14730,91279,7.1,163,/Applications/Microsoft
0.7,1025,14730,91280,41.1,148,/Applications/Microsoft
0.7,1025,14730,91295,0.0,4,/Applications/Microsoft
0.7,1025,14730,91296,0.0,4,/Applications/Microsoft
0.7,1025,14730,91305,0.0,3,/Applications/Microsoft
0.7,1025,14730,91318,0.0,3,/Applications/Microsoft
1.3,143,14730,1760,0.0,0,/Applications/Microsoft
1.3,143,14730,2289,1.5,42,/Applications/Ollama.app/Contents/Resources/ollama
1.3,143,14730,5164,0.3,16,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
1.3,143,14730,5182,69.9,1304,/Applications/Ollama.app/Contents/Resources/llama-server
1.3,143,14730,76251,0.0,1,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
1.3,143,14730,91257,0.7,16,/Applications/Microsoft
1.3,143,14730,91258,0.0,0,/Applications/Microsoft
1.3,143,14730,91259,0.0,2,/Applications/Microsoft
1.3,143,14730,91263,0.1,12,/Applications/Microsoft
1.3,143,14730,91265,0.0,0,/Applications/Microsoft
1.3,143,14730,91266,0.1,21,/Applications/Microsoft
1.3,143,14730,91268,0.0,3,/Applications/Microsoft
1.3,143,14730,91270,0.0,2,/Applications/Microsoft
1.3,143,14730,91271,0.0,11,/Applications/Microsoft
1.3,143,14730,91272,0.0,9,/Applications/Microsoft
1.3,143,14730,91279,1.2,163,/Applications/Microsoft
1.3,143,14730,91280,36.8,156,/Applications/Microsoft
1.3,143,14730,91295,0.0,4,/Applications/Microsoft
1.3,143,14730,91296,0.0,4,/Applications/Microsoft
1.3,143,14730,91305,0.0,3,/Applications/Microsoft
1.3,143,14730,91318,0.0,3,/Applications/Microsoft
1.9,89,14722,1760,0.0,0,/Applications/Microsoft
1.9,89,14722,2289,0.0,42,/Applications/Ollama.app/Contents/Resources/ollama
1.9,89,14722,5164,0.0,16,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
1.9,89,14722,5182,39.4,2841,/Applications/Ollama.app/Contents/Resources/llama-server
1.9,89,14722,76251,0.0,2,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
1.9,89,14722,91257,0.3,18,/Applications/Microsoft
1.9,89,14722,91258,0.0,0,/Applications/Microsoft
1.9,89,14722,91259,0.0,2,/Applications/Microsoft
1.9,89,14722,91263,0.2,42,/Applications/Microsoft
1.9,89,14722,91265,0.0,0,/Applications/Microsoft
1.9,89,14722,91266,0.2,21,/Applications/Microsoft
1.9,89,14722,91268,0.0,3,/Applications/Microsoft
1.9,89,14722,91270,0.0,2,/Applications/Microsoft
1.9,89,14722,91271,0.0,11,/Applications/Microsoft
1.9,89,14722,91272,0.0,9,/Applications/Microsoft
1.9,89,14722,91279,0.4,166,/Applications/Microsoft
1.9,89,14722,91280,37.7,159,/Applications/Microsoft
1.9,89,14722,91295,0.0,4,/Applications/Microsoft
1.9,89,14722,91296,0.0,4,/Applications/Microsoft
1.9,89,14722,91305,0.0,3,/Applications/Microsoft
1.9,89,14722,91318,0.0,3,/Applications/Microsoft
2.6,231,14714,1760,0.0,0,/Applications/Microsoft
2.6,231,14714,2289,7.8,43,/Applications/Ollama.app/Contents/Resources/ollama
2.6,231,14714,5164,0.0,16,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
2.6,231,14714,5182,49.2,3621,/Applications/Ollama.app/Contents/Resources/llama-server
2.6,231,14714,76251,0.4,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
2.6,231,14714,91257,1.1,17,/Applications/Microsoft
2.6,231,14714,91258,0.0,0,/Applications/Microsoft
2.6,231,14714,91259,0.0,2,/Applications/Microsoft
2.6,231,14714,91263,0.0,41,/Applications/Microsoft
2.6,231,14714,91265,0.0,0,/Applications/Microsoft
2.6,231,14714,91266,0.0,19,/Applications/Microsoft
2.6,231,14714,91268,0.0,2,/Applications/Microsoft
2.6,231,14714,91270,0.0,2,/Applications/Microsoft
2.6,231,14714,91271,0.0,8,/Applications/Microsoft
2.6,231,14714,91272,0.0,10,/Applications/Microsoft
2.6,231,14714,91279,0.1,162,/Applications/Microsoft
2.6,231,14714,91280,38.3,163,/Applications/Microsoft
2.6,231,14714,91295,0.0,3,/Applications/Microsoft
2.6,231,14714,91296,0.0,3,/Applications/Microsoft
2.6,231,14714,91305,0.0,2,/Applications/Microsoft
2.6,231,14714,91318,0.0,2,/Applications/Microsoft
3.2,191,14706,1760,0.0,0,/Applications/Microsoft
3.2,191,14706,2289,0.6,39,/Applications/Ollama.app/Contents/Resources/ollama
3.2,191,14706,5164,0.0,13,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
3.2,191,14706,5182,3.1,3602,/Applications/Ollama.app/Contents/Resources/llama-server
3.2,191,14706,76251,0.0,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
3.2,191,14706,91257,0.7,19,/Applications/Microsoft
3.2,191,14706,91258,0.0,0,/Applications/Microsoft
3.2,191,14706,91259,0.0,2,/Applications/Microsoft
3.2,191,14706,91263,0.0,42,/Applications/Microsoft
3.2,191,14706,91265,0.0,0,/Applications/Microsoft
3.2,191,14706,91266,0.2,21,/Applications/Microsoft
3.2,191,14706,91268,0.0,2,/Applications/Microsoft
3.2,191,14706,91270,0.2,4,/Applications/Microsoft
3.2,191,14706,91271,0.0,8,/Applications/Microsoft
3.2,191,14706,91272,0.0,10,/Applications/Microsoft
3.2,191,14706,91279,0.4,164,/Applications/Microsoft
3.2,191,14706,91280,34.2,162,/Applications/Microsoft
3.2,191,14706,91295,0.0,3,/Applications/Microsoft
3.2,191,14706,91296,0.1,7,/Applications/Microsoft
3.2,191,14706,91305,0.0,2,/Applications/Microsoft
3.2,191,14706,91318,0.0,2,/Applications/Microsoft
3.8,385,14698,1760,0.0,0,/Applications/Microsoft
3.8,385,14698,2289,0.1,39,/Applications/Ollama.app/Contents/Resources/ollama
3.8,385,14698,5164,0.0,13,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
3.8,385,14698,5182,32.8,3627,/Applications/Ollama.app/Contents/Resources/llama-server
3.8,385,14698,76251,0.0,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
3.8,385,14698,91257,0.3,18,/Applications/Microsoft
3.8,385,14698,91258,0.0,0,/Applications/Microsoft
3.8,385,14698,91259,0.0,2,/Applications/Microsoft
