tid,fritt_mb,swap_mb,pid,cpu,rss_mb,namn
2.2,77,11581,91270,0.0,8,/Applications/Microsoft
2.2,77,11581,91271,0.0,143,/Applications/Microsoft
2.2,77,11581,91272,0.0,17,/Applications/Microsoft
2.2,77,11581,91279,0.8,779,/Applications/Microsoft
2.2,77,11581,91280,42.8,381,/Applications/Microsoft
2.2,77,11581,91295,0.0,10,/Applications/Microsoft
2.2,77,11581,91296,0.0,10,/Applications/Microsoft
2.2,77,11581,91305,0.0,36,/Applications/Microsoft
2.2,77,11581,91318,0.0,33,/Applications/Microsoft
2.2,77,11581,95323,0.6,27,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
2.2,77,11581,95335,22.8,693,/Users/parlevander/Projekt/whisper.cpp/build/bin/whisper-server
2.8,77,11581,1760,0.0,0,/Applications/Microsoft
2.8,77,11581,2289,0.0,16,/Applications/Ollama.app/Contents/Resources/ollama
2.8,77,11581,91257,1.4,73,/Applications/Microsoft
2.8,77,11581,91258,0.0,0,/Applications/Microsoft
2.8,77,11581,91259,0.0,3,/Applications/Microsoft
2.8,77,11581,91263,0.6,127,/Applications/Microsoft
2.8,77,11581,91265,0.0,0,/Applications/Microsoft
2.8,77,11581,91266,2.5,33,/Applications/Microsoft
2.8,77,11581,91268,0.0,31,/Applications/Microsoft
2.8,77,11581,91270,0.0,8,/Applications/Microsoft
2.8,77,11581,91271,0.0,142,/Applications/Microsoft
2.8,77,11581,91272,0.0,17,/Applications/Microsoft
2.8,77,11581,91279,12.5,771,/Applications/Microsoft
2.8,77,11581,91280,36.2,379,/Applications/Microsoft
2.8,77,11581,91295,0.0,10,/Applications/Microsoft
2.8,77,11581,91296,0.0,10,/Applications/Microsoft
2.8,77,11581,91305,0.0,36,/Applications/Microsoft
2.8,77,11581,91318,0.0,33,/Applications/Microsoft
2.8,77,11581,95323,0.3,27,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
2.8,77,11581,95335,29.6,696,/Users/parlevander/Projekt/whisper.cpp/build/bin/whisper-server
3.4,125,11573,1760,0.0,0,/Applications/Microsoft
3.4,125,11573,2289,0.0,16,/Applications/Ollama.app/Contents/Resources/ollama
3.4,125,11573,91257,5.4,73,/Applications/Microsoft
3.4,125,11573,91258,0.0,0,/Applications/Microsoft
3.4,125,11573,91259,0.0,3,/Applications/Microsoft
3.4,125,11573,91263,2.0,122,/Applications/Microsoft
3.4,125,11573,91265,0.0,0,/Applications/Microsoft
3.4,125,11573,91266,7.7,33,/Applications/Microsoft
3.4,125,11573,91268,0.0,30,/Applications/Microsoft
3.4,125,11573,91270,0.0,8,/Applications/Microsoft
3.4,125,11573,91271,0.0,140,/Applications/Microsoft
3.4,125,11573,91272,0.1,19,/Applications/Microsoft
3.4,125,11573,91279,16.7,780,/Applications/Microsoft
3.4,125,11573,91280,32.5,378,/Applications/Microsoft
3.4,125,11573,91295,0.0,10,/Applications/Microsoft
3.4,125,11573,91296,0.0,10,/Applications/Microsoft
3.4,125,11573,91305,0.0,36,/Applications/Microsoft
3.4,125,11573,91318,0.0,33,/Applications/Microsoft
3.4,125,11573,95323,0.7,27,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
3.4,125,11573,95335,19.6,683,/Users/parlevander/Projekt/whisper.cpp/build/bin/whisper-server
